id,lyrics
0VjIjW4GlUZAMYd2vXMi3b,"Blinding Lights Lyrics
Yeah

I've been tryna call
I've been on my own for long enough
Maybe you can show me how to love, maybe
I'm going through withdrawals
You don't even have to do too much
You can turn me on with just a touch, baby

I look around and
Sin City's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust
Hey, hey, hey

I'm running out of time
'Cause I can see the sun light up the sky
So I hit the road in overdrive, baby, oh
The city's cold and empty (Oh)
No one's around to judge me (Oh)
I can't see clearly when you're gone

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
I said, ooh, I'm drowning in the night
Oh, when I'm like this, you're the one I trust

I'm just calling back to let you know (Back to let you know)
I could never say it on the phone (Say it on the phone)
Will never let you go this time (Ooh)

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch
Hey, hey, hey
Hey, hey, hey

I said, ooh, I'm blinded by the lights
No, I can't sleep until I feel your touch257Embed"
6hw1Sy9wZ8UCxYGdpKrU6M,"Roller Lyrics

(Lucry)
(Suena)

Warum fickt ihr Kopf, Kopf?
Mein Kopf platzt, Gucci-Sandalen, ich trag' sie nur aus Trotz, Trotz
Trotzdem machen sie mir nach, kann's nicht glauben, lieber Gott
Gott sei Dank schützt du mich, wenn meine Vespa wieder rollt
Wenn sie rollt (Brrm)
Bin auf dem Weg
Mit meinem Baby, sie sticht zu, geht besser aus dem Weg
Mit zehn PS in deine Stadt, es wird nicht angenehm
Zähl' auf meine Vespa und jetzt bringt sie euch zum Schafe zähl'n
Na-na-ne (Na-na-ne)
Eins-gegen-eins, er kriegt 'ne Bombe, ruft sein'n Bro
Aber vergisst, mein Abi boxt sein'n Abi
Cruis' mit offenen Haaren und hinter mir sitzt eine
Bitch like Barbie, Hood-Safari
Steig' auf die Speedfight, scheiß auf Kawasaki, let's go, Barbie
Kickdown, mit Siebzig auf eure Party (Brrm)

Sie machen Fotos, Taschen platzen, aber Apache bleibt gleich (Brrm)
Brudi, ich muss los, wenn die Roller wieder schrei'n (Brrm)
Reden mir von Koks und von Messerstecherei'n (Brrm)
Doch sie müssen los, wenn unsre Roller wieder schrei'n (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm)

Markier den Harten, Bro
Wenn man der Sache auf den Grund geht, merkt man, das ist in der Tat nicht so
Ruf doch, wen du willst, von mir aus kannst du auch dein'n Papi hol'n
Schwänze lutschen ist bei euch kleinen Pissern doch Tradition
Macht nicht so
Party-Hoes
Seh'n mich im Unterhemd, schiel'n zu mir rüber, sie checken mein'n Body aus
Bitch, 105 Kilogramm Definition ohne Cardio
Ob du's willst oder nicht, Bro, Apache läuft ab heut im Radio
Da-di-oh (Brrm)

Sie machen Fotos, Taschen platzen, aber Apache bleibt gleich (Brrm)
Brudi, ich muss los, wenn die Roller wieder schrei'n (Brrm)
Reden mir von Koks und von Messerstecherei'n (Brrm)
Doch sie müssen los, wenn unsre Roller wieder schrei'n (Brrm, brrm)

Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm, brrm)
Apache bleibt gleich (Brrm)
Brrm, brrm
Brrm, brrm14Embed"
7qEHsqek33rTcFNT9PFqLf,"Someone You Loved Lyrics
I'm going under, and this time, I fear there's no one to save me
This all or nothing really got a way of driving me crazy
I need somebody to hear,  somebody to know
Somebody to have, somebody to hold
It's easy to say, but it's never the same
I guess I kinda liked the way you numbed all the pain

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved

I'm going under, and this time, I fear there's no one to turn to
This all or nothing way of loving got me sleeping without you
Now, I need somebody to know, somebody to hear
Somebody to have, just to know how it feels
It's easy to say, but it's never the same
I guess I kinda like the way you help me escape

Now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
And I tend to close my eyes when it hurts sometimes
I fall into your arms
I'll be safe in your sound till I come back around

For now, the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
But now the day bleeds into nightfall
And you're not here to get me through it all
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved
I let my guard down and then you pulled the rug
I was getting kinda used to being someone you loved165Embed"
4MzXwWMhyBbmu6hOcLVD49,"DÁKITI Lyrics

Baby, ya yo me enteré, se nota cuando me ve'
Ahí donde no has llega'o sabe' que yo te llevaré
Y dime qué quiere' beber, es que tú ere' mi bebé
¿Y de nosotro' quién va a hablar? Si no nos dejamo' ver

Y a vece' e' Dolce, a vece' Bulgari
Cuando te lo quito despué' de lo' partie'
Las copa' de vino, las libra' de mari
Tú estás bien suelta, yo de safari
Tú muevе' el culo fenomenal
Pa' yo dеvorarte como animal
Si no te ha' venío', yo te vo'a esperar
En mi cama y lo vo'a celebrar

Baby, a ti no me opongo
Y siempre te lo pongo
Y si tú me tira', vamo' a nadar en lo hondo
Si e' por mí te lo pongo
De septiembre hasta agosto
A mí sin cojone' lo que digan tu' amiga'
Ya yo me enteré, se nota cuando me ve'
Ahí donde no ha' llega'o sabe' que yo te llevaré
Y dime qué quiere' beber, e' que tú ere' mi bebé
¿Y de nosotro' quién va a hablar? Si no nos dejamo' ver (¿Me sigue'?)

Mami, me tiene' juquea'o, sí
Si fuera' la Uru', me tuviese' parquea'o
Dando vuelta' por Condado, contigo siempre arrebata'o
Tú no ere' mi señora, pero
Toma cinco mil, gástalo en Sephora
Louis Vuitton, ya no compra en Pandora
Como piercing, a los hombre' perfora, eh-eh-eh

Hace tiempo le rompieron el cora (El cora)
Estudiosa, puesta pa' ser doctora (Doctora)
Pero (Pero), le gustan los títere' wheeleando motora (Motora)
Yo estoy pa' ti las veinticuatro hora'

Baby, a ti no me opongo
Y siempre te lo pongo (-pre te lo pongo)
Y si tú me tira', vamo' a nadar en lo hondo (Nadar en lo hondo)
Si es por mí te lo pongo
De septiembre hasta agosto
Y a mí sin cojone' lo que digan tu' amiga'
Ya yo me enteré, se nota cuando me ve'
Ahí donde no ha' llega'o sabe' que yo te llevaré
Y dime qué quiere' beber, e' que tú ere' mi bebé
¿Y de nosotro' quién va a hablar? Si no nos dejamo' ver

Y a vece' e' Dolce, a vece' Bulgari
Cuando te lo quito despué' de lo partie'
La' copa' de vino, las libra' de mari
Tú estás bien suelta, yo de safari
Tú mueve' el culo fenomenal
Pa' yo devorarte como animal
Si no te ha' venío', yo te vo'a esperar
En mi cama y lo vo'a celebrar72Embed"
2u8AXJyk8pICzj2wyPBL0b,"2002 Lyrics

Die Sonne scheint, Handy klingelt, Siggi ruft an
Ich bin high, Bruder, lass mal 'n bisschen rumfahr'n
Ich komme vorbei, sitz' in mei'm SL 500
Denk' an die alte Zeit, aus den Boxen Royal Bunker

Die Sonne scheint, Handy klingelt, Siggi ruft an
Ich bin high, Bruder, lass mal 'n bisschen rumfahr'n
Ich komme vorbei, sitz' in mei'm SL 500
Denk' an die alte Zeit, aus den Boxen Royal Bunker

2002, Mama holt für ihre Söhne Essen
Ihre Tischhälfte steht leer, denn sie will sich nichts kaufen
Mutter sagt, nein, sie hat keinen Hunger
Meine Pommes spiegeln sich in ihren wunderschönen nassen Augen
Ich haue rein, meine Mama ist am wein'n
Denn sie holt uns alles, doch sich selbst holt sie ein'n Scheiß
Ich war viel zu klein, ums zu peil'n, tut mir leid
Nie mehr Leid, nie mehr Streit, bin bald die Eins
Der Wodka macht ka-bumm in meinem Kafa
Deshalb seid ihr Pisser nicht auf meinem Radar
Bin etwas verkatert, pass auf, wie du redest
Ab heute hab' ich einen Song mit Sido Baba
Ich scheiß' darauf, die meisten reden von Grenzen
Kripo ticken von Mengen Kilos, aber
Dealen ein'n Zehner, täglich zocken diese mit fettigen Haaren in Spielos danach
Kriminelle Bahn war mal (War mal)
Kam nach Hause, niemand war da (War da)
Bereuen werde ich nada
Denn der Staat war niemals mein Vater (Nein)
Du bist Clyde, ich bin Bonnie
Sie sagt: „Du bist Pablo, Baby, ich bin Tata“
Und das ist kein Feature, ich mach' keine Features
Erfüll' nur den Traum, den ich als Kind hatte
Die Sonne scheint, Handy klingelt, Siggi ruft an
Ich bin high, Bruder, lass mal 'n bisschen rumfahr'n
Ich komme vorbei, sitz' in mei'm SL 500
Denk' an die alte Zeit, aus den Boxen Royal Bunker
Die Sonne scheint, Handy klingelt, Siggi ruft an
Ich bin high, Bruder, lass mal 'n bisschen rumfahr'n
Ich komme vorbei, sitz' in mei'm SL 500
Denk' an die alte Zeit, aus den Boxen Royal Bunker

2002, ich sitz' in der Bahn und fahre ohne Ticket
Vom MV bis nach Schöneberg ins Studio
Die Schnauze voll, denn die Taschen leer
Gras im Blut, Hass im Herz
Ja, mein Freund, das Leben ist ein Hurensohn
Zuhause klingelt wieder mal die Polizei
Sie fragen, wo ich bin, und Mama sagt, dass sie's nicht weiß
Doch wo soll ich sein? Ich vertreib' meine Zeit
Fünf Leute, zwei Döner, nachts um eins
Ich wusste: Entweder geht mein Album ab
Oder ich sitze bald im Knast
Entweder krieg' ich bald mein Hak
Oder ich knall' euch alle ab
Wenn sich nichts ändert, helfen auch die Drogen nicht mehr
Doch heute kann man sich nicht vorstell'n, wie es ohne mich wär
Ich bin der Vater von diesem Rap-Ding
Es fließt in meinem System
Frag die Juice und die Backspin
Ich sah viele kommen und geh'n
Und heute fahr' ich rum mit Apache
Bacardi Rum in der Tasse
Dieser Hip-Hop ist mein Leben
Falls du fragst, warum ich das mach'
Die Sonne scheint, Handy klingelt, Siggi ruft an
Ich bin high, Bruder, lass mal 'n bisschen rumfahr'n
Ich komme vorbei, sitz' in mei'm SL 500
Denk' an die alte Zeit, aus den Boxen Royal Bunker

Die Sonne scheint, Handy klingelt, Siggi ruft an
Ich bin high, Bruder, lass mal 'n bisschen rumfahr'n
Ich komme vorbei, sitz' in mei'm SL 500
Denk' an die alte Zeit, aus den Boxen Royal Bunker

„Unsre Weste wird wie unsre Blöcke immer grauer
Es wird nur schlimmer, wenn du die Möglichkeiten hast, dann hau ab
Unsre Weste wird wie unsre Blöcke immer grauer
Es wird nur schlimmer, wenn du die Möglichkeiten hast, dann hau ab“

Die Sonne scheint, Handy klingelt, Siggi ruft an
Ich bin high, Bruder, lass mal 'n bisschen rumfahr'n
Ich komme vorbei, sitz' in mei'm SL 500
Denk' an die alte Zeit, aus den Boxen Royal Bunker3Embed"
3aLZ0s5ulFLcFCtIZQblpo,"Hauseingang Lyrics

Ey, Pasha, Stickle
Ey (Stickle), ey, ey

Ey yo, ich zähl' kleine Scheine in mein' Hauseingang
Sie sagt, „Ruf mich an, wenn du rauskomm'n kannst“
Blaue Tracksuit rock' ich auf entspannt
Symba Double Cup, RB raucht zwei Gramm
Ich zähl' kleine Scheine in mein' Hauseingang
Sie sagt, „Ruf mich an, wenn du rauskomm'n kannst“
Blaue Tracksuit rock' ich auf entspannt
Symba Double Cup, RB raucht zwei Gramm

Ey yo, Locken gucken hinten aus Tn-Cap raus
Lacoste-Tattoo auf mein' Bein, Nike-Tattoo auf mein' Bauch
Lange Nacht in Hood, irgendwann komm' ich zu dir
Canım, bitte bete, dass mir heute nichts passiert
RB raucht zwei Gramm, Cano zählt Geld
Geh' nur auf die Knie, wenn ein Schein runterfällt
Hinterhof in Hood, chill'n mit Shabab
Wir hör'n 22Gz, OFB jeden Tag
Asics und Tns vor der Tür, wenn wir chill'n
Berlin-Crime-Wave, Leute fühl'n unsern Film
Narben auf der Haut, Prada-Bag vom Basar
Alte Liebe in mein' Traum, neue Liebe in mein'n Arm'n
Wir sind Engel, doch gefall'n, 2000 in Berlin
Heut fahr'n wir durch Hood und woll'n Tausender verdien'n
Flügel sind gebrochen und die Seel'n werden kalt
Ich werd' höchstens dreißig, Canım, nein, ich werd' nicht alt
Ey yo, ich zähl' kleine Scheine in mein' Hauseingang
Sie sagt, „Ruf mich an, wenn du rauskomm'n kannst“
Blaue Tracksuit rock' ich auf entspannt
Symba Double Cup, RB raucht zwei Gramm
Ich zähl' kleine Scheine in mein' Hauseingang
Sie sagt, „Ruf mich an, wenn du rauskomm'n kannst“
Blaue Tracksuit rock' ich auf entspannt
Symba Double Cup, RB raucht zwei Gramm9Embed"
2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather Lyrics
And all I am is a man
I want the world in my hands
I hate the beach but I stand
In California with my toes in the sand
Use the sleeves of my sweater
Let's have an adventure
Head in the clouds but my gravity's centered
Touch my neck and I'll touch yours
You in those little high waisted shorts, oh

She knows what I think about
And what I think about
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn’t wanna tell you about, no

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater

And if I may just take your breath away
I don't mind if there's not much to say
Sometimes the silence guides a mind
To move to a place so far away
The goosebumps start to raise
The minute that my left hand meets your waist
And then I watch your face
Put my finger on your tongue
'Cause you love the taste, yeah
These hearts adore
Everyone the other beats hardest for
Inside this place is warm
Outside it starts to pour
Comin' down
One love, two mouths
One love, one house
No shirt, no blouse
Just us, you find out
Nothing that I wouldn't wanna tell you about
No, no, no

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater, woah

Woah, woah, woah
Woah, woah, woah, woah
Woah, woah
Woah, woah, woah, woah
Woah, woah

'Cause it's too cold for you here
And now, so let me hold
Both your hands in the holes of my sweater
'Cause it's too cold for you here
Now, let me hold
Both your hands in the holes of my sweater
And it's too cold, it's too cold
The holes of my sweater497Embed"
02MWAaffLxlfxAUY7c5dvx,"Heat Waves Lyrics
(Last night, all I think about is you)
(Don't stop, baby, you can walk through)
(Don't want, baby, think about you)
(You know that I'm never gonna lose)
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a—

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Usually, I put somethin' on TV
So we never think about you and me
But today, I see our reflections clearly
In Hollywood, layin' on the screen
You just need a better life than this
You need somethin' I can never give
Fake water all across the road
It's gone now, the night has come, but
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

You can't fight it, you can't breathe
You say somethin' so lovin', but
Now I gotta let you go
You'll be better off in someone new
I don't wanna be alone
You know it hurts me too
You look so broken when you cry
One more and then I say goodbye

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
I just wonder what you're dreamin' of
When you sleep and smile so comfortable
I just wish that I could give you that
That look that's perfectly un-sad
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Heat waves been fakin' me out

Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now
Sometimes, all I think about is you
Late nights in the middle of June
Heat waves been fakin' me out
Can't make you happier now

Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror
Road shimmer wigglin' the vision
Heat, heat waves, I'm swimmin' in a mirror69Embed"
60a0Rd6pjrkxjPbaKzXjfq,"In the End Lyrics
(It starts with one) One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To explain in due time all I know
Time is a valuable thing
Watch it fly by as the pendulum swings
Watch it count down to the end of the day
The clock ticks life away, it's so unreal (It's so unreal)
Didn't look out below
Watch the time go right out the window
Tryin' to hold on, didn't even know
I wasted it all just to watch you go

I kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter
One thing, I don't know why
It doesn't even matter how hard you try
Keep that in mind, I designed this rhyme
To remind myself how I tried so hard
In spite of the way you were mockin' me
Actin' like I was part of your property
Rememberin' all the times you fought with me
I'm surprised it got so far
Things aren't the way they were before
You wouldn't even recognize me anymore
Not that you knew me back then
But it all comes back to me in the end

You kept everything inside
And even though I tried, it all fell apart
What it meant to me will eventually be
A memory of a time when I tried so hard

I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter
I've put my trust in you
Pushed as far as I can go
For all this
There's only one thing you should know
I've put my trust in you
Pushed as far as I can go
For all this
There's only one thing you should know

I tried so hard and got so far
But in the end it doesn't even matter
I had to fall to lose it all
But in the end it doesn't even matter276Embed"
2gMXnyrvIjhVBUZwvLZDMP,"Before You Go Lyrics
I fell by the wayside like everyone else
I hate you, I hate you, I hate you but I was just kidding myself
Our every moment, I start to replace
'Cause now that they're gone, all I hear are the words that I needed to say

When you hurt under the surface
Like troubled water running cold
Well, time can heal but this won't

So, before you go
Was there something I could've said
To make your heart beat better?
If only I'd have known you had a storm to weather
So, before you go
Was there something I could've said
To make it all stop hurting?
It kills me how your mind can make you feel so worthless
So, before you go

Was never the right time, whenever you called
Went little by little by little until there was nothing at all
Our every moment, I start to replay
But all I can think about is seeing that look on your face
When you hurt under the surface
Like troubled water running cold
Well, time can heal but this won't

So, before you go
Was there something I could've said
To make your heart beat better?
If only I'd have known you had a storm to weather
So, before you go
Was there something I could've said
To make it all stop hurting?
It kills me how your mind can make you feel so worthless
So, before you go

Would we be better off by now
If I'd have let my walls come down?
Maybe, I guess we'll never know
You know, you know

Before you go
Was there something I could've said
To make your heart beat better?
If only I'd have known you had a storm to weather
So, before you go
Was there something I could've said
To make it all stop hurting?
It kills me how your mind can make you feel so worthless
So, before you go74Embed"
